Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Bengie Molina,27,122,459,428,34,105,18,0,5,47,0,0,15,34,.245,.274,.322,.596,58,138,15,4,6,6,3,molinbe01
2,1B,Scott Spiezio#,29,153,571,491,80,140,34,2,12,82,6,7,67,52,.285,.371,.436,.807,115,214,12,4,3,6,7,spiezsc01
3,2B,Adam Kennedy*,26,144,509,474,65,148,32,6,7,52,17,4,19,80,.312,.345,.449,.795,110,213,5,7,5,4,1,kennead01
4,SS,David Eckstein,27,152,702,608,107,178,22,6,8,63,21,13,45,44,.293,.363,.388,.752,101,236,7,27,14,8,0,eckstda01
5,3B,Troy Glaus,25,156,671,569,99,142,24,1,30,111,10,3,88,144,.250,.352,.453,.805,113,258,12,6,0,8,4,glaustr01
6,LF,Garret Anderson*,30,158,678,638,93,195,56,3,29,123,6,4,30,80,.306,.332,.539,.871,127,344,11,0,0,10,11,anderga01
7,CF,Darin Erstad*,28,150,663,625,99,177,28,4,10,73,23,3,27,67,.283,.313,.389,.702,86,243,9,2,5,4,4,erstada01
8,RF,Tim Salmon,33,138,568,483,84,138,37,1,22,88,6,3,71,102,.286,.380,.503,.883,133,243,6,7,0,7,3,salmoti01
9,DH,Brad Fullmer*,27,130,479,429,75,124,35,6,19,59,10,3,32,44,.289,.357,.531,.888,133,228,7,15,0,3,6,fullmbr01
10,OF,Orlando Palmeiro*,33,110,300,263,35,79,12,1,0,31,7,2,30,22,.300,.368,.354,.722,94,93,7,0,4,3,1,palmeor01
11,2B,Benji Gil,29,61,139,130,11,37,8,1,3,20,2,1,5,33,.285,.307,.431,.737,94,56,0,0,2,2,0,gilbe01
12,DH,Shawn Wooten,29,49,121,113,13,33,8,0,3,19,2,0,6,24,.292,.331,.442,.773,104,50,3,1,0,1,1,wootesh01
13,MI,José Nieves,27,45,100,97,17,28,2,0,0,6,1,1,2,14,.289,.303,.309,.612,64,30,3,0,1,0,0,nievejo01
14,C,Jorge Fábregas*,32,35,96,88,8,17,1,0,0,8,0,0,6,6,.193,.245,.205,.449,22,18,3,0,2,0,1,fabrejo01
15,C,José Molina,27,29,81,70,5,19,3,0,0,5,0,2,5,15,.271,.312,.314,.626,68,22,2,0,4,2,0,molinjo01
16,OF,Alex Ochoa,30,37,75,65,8,18,7,0,2,10,2,2,10,5,.277,.373,.477,.850,125,31,0,0,0,0,0,ochoaal01
17,OF,Julio Ramírez,24,29,35,32,6,9,0,1,1,7,0,2,2,14,.281,.343,.438,.780,106,14,0,1,0,0,0,ramirju02
