Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Jason Varitek#,35,131,518,435,57,111,15,3,17,68,1,2,71,122,.255,.367,.421,.787,103,183,9,8,0,4,9,varitja01
2,1B,Kevin Youkilis,28,145,625,528,85,152,35,2,16,83,4,2,77,105,.288,.390,.453,.843,117,239,9,15,0,5,0,youklke01
3,2B,Dustin Pedroia,23,139,581,520,86,165,39,1,8,50,7,1,47,42,.317,.380,.442,.823,112,230,8,7,5,2,1,pedrodu01
4,SS,Julio Lugo,31,147,630,570,71,135,36,2,8,73,33,6,48,82,.237,.294,.349,.643,65,199,9,0,8,4,0,lugoju01
5,3B,Mike Lowell,33,154,653,589,79,191,37,2,21,120,3,2,53,71,.324,.378,.501,.879,124,295,19,3,0,8,4,lowelmi01
6,LF,Manny Ramirez,35,133,569,483,84,143,33,1,20,88,0,0,71,92,.296,.388,.493,.881,126,238,21,7,0,8,13,ramirma02
7,CF,Coco Crisp#,27,145,591,526,85,141,28,7,6,60,28,6,50,84,.268,.330,.382,.712,83,201,12,1,9,5,1,crispco01
8,RF,J.D. Drew*,31,140,552,466,84,126,30,4,11,64,4,2,79,100,.270,.373,.423,.796,105,197,12,1,0,6,10,drewj.01
9,DH,David Ortiz*,31,149,667,549,116,182,52,1,35,117,3,1,111,103,.332,.445,.621,1.066,171,341,16,4,0,3,12,ortizda01
10,MI,Alex Cora*,31,83,232,207,30,51,10,5,3,18,1,1,7,23,.246,.298,.386,.684,75,80,5,9,7,2,2,coraal01
11,1B,Eric Hinske*,29,84,218,186,25,38,12,3,6,21,3,0,28,54,.204,.317,.398,.714,83,74,7,3,0,1,2,hinsker01
12,RF,Wily Mo Peña,25,73,172,156,18,34,9,1,5,17,0,1,14,58,.218,.291,.385,.675,72,60,5,2,0,0,0,penawi01
13,C,Doug Mirabelli,36,48,127,114,9,23,3,0,5,16,0,0,11,41,.202,.278,.360,.637,63,41,4,1,1,0,0,mirabdo01
14,OF,Jacoby Ellsbury*,23,33,127,116,20,41,7,1,3,18,9,0,8,15,.353,.394,.509,.902,131,59,2,1,0,2,0,ellsbja01
15,OF,Bobby Kielty#,30,20,61,52,6,12,2,0,1,9,0,0,5,17,.231,.295,.327,.622,60,17,3,1,0,3,0,kieltbo01
16,C,Kevin Cash,29,12,33,27,2,3,1,0,0,4,0,0,4,13,.111,.242,.148,.391,4,4,2,1,0,1,0,cashke01
17,OF,Brandon Moss*,23,15,29,25,6,7,2,1,0,1,0,0,4,6,.280,.379,.440,.819,111,11,1,0,0,0,0,mossbr01
18,1B,Jeff Bailey,28,3,9,9,1,1,0,0,1,1,0,0,0,1,.111,.111,.444,.556,34,4,0,0,0,0,0,baileje01
19,IF,Royce Clayton,37,8,6,6,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,2,0,0,0,0,claytro01
20,OF,David Murphy*,25,3,2,2,1,1,0,1,0,0,0,0,0,1,.500,.500,1.500,2.000,390,3,0,0,0,0,0,murphda07
21,P,Josh Beckett,27,3,11,11,1,2,1,0,0,1,0,0,0,1,.182,.182,.273,.455,15,3,0,0,0,0,0,beckejo02
22,P,Julián Tavárez*,34,2,5,4,0,1,0,0,0,0,0,0,1,3,.250,.400,.250,.650,73,1,0,0,0,0,0,tavarju01
23,P,Daisuke Matsuzaka,26,2,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,matsuda01
24,P,Tim Wakefield,40,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,wakefti01
25,P,Curt Schilling,40,1,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,159,1,0,0,0,0,0,schilcu01
26,P,Jon Lester*,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,lestejo01
27,P,Brendan Donnelly,35,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,donnebr01
28,P,Bryan Corey,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,coreybr01
29,P,Devern Hansack,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,hansade01
30,P,Éric Gagné,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gagneer01
31,P,Clay Buchholz*,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,buchhcl01
32,P,Hideki Okajima*,31,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,okajihi01
33,P,Joel Piñeiro,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,pineijo01
34,P,Manny Delcarmen,25,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,delcama01
35,P,Kyle Snyder#,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,snydeky01
36,P,J.C. Romero#,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,romerj.01
37,P,Javier López*,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,lopezja02
38,P,Kason Gabbard*,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gabbaka01
39,P,Mike Timlin,41,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,timlimi01
40,P,Jonathan Papelbon,26,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,papeljo01
