Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Jorge Posada#,38,111,438,383,55,109,25,0,22,81,1,0,48,101,.285,.363,.522,.885,125,200,13,2,0,5,4,posadjo01
2,1B,Mark Teixeira#,29,156,707,609,103,178,43,3,39,122,2,0,81,114,.292,.383,.565,.948,141,344,13,12,0,5,9,teixema01
3,2B,Robinson Canó*,26,161,674,637,103,204,48,2,25,85,5,7,30,63,.320,.352,.520,.871,121,331,22,3,0,4,2,canoro01
4,SS,Derek Jeter,35,153,716,634,107,212,27,1,18,66,30,5,72,90,.334,.406,.465,.871,125,295,18,5,4,1,4,jeterde01
5,3B,Alex Rodriguez,33,124,535,444,78,127,17,1,30,100,14,2,80,97,.286,.402,.532,.933,138,236,13,8,0,3,7,rodrial01
6,LF,Johnny Damon*,35,143,626,550,107,155,36,3,24,82,12,0,71,98,.282,.365,.489,.854,118,269,9,2,2,1,1,damonjo01
7,CF,Melky Cabrera#,24,154,540,485,66,133,28,1,13,68,10,2,43,59,.274,.336,.416,.752,93,202,15,4,4,4,4,cabreme01
8,RF,Nick Swisher#,28,150,607,498,84,124,35,1,29,82,0,0,97,126,.249,.371,.498,.869,122,248,13,3,3,6,2,swishni01
9,DH,Hideki Matsui*,35,142,528,456,62,125,21,1,28,90,0,1,64,75,.274,.367,.509,.876,123,232,4,4,0,2,1,matsuhi01
10,CF,Brett Gardner*,25,108,284,248,48,67,6,6,3,23,26,5,26,40,.270,.345,.379,.724,87,94,3,3,6,1,0,gardnbr01
11,C,José Molina,34,52,155,138,15,30,4,0,1,11,0,0,14,28,.217,.292,.268,.560,46,37,6,1,1,1,0,molinjo01
12,IF,Ramiro Peña#,23,69,121,115,17,33,6,1,1,10,4,1,5,20,.287,.317,.383,.699,80,44,2,0,1,0,0,penara02
13,C,Francisco Cervelli,23,42,101,94,13,28,4,0,1,11,0,3,2,11,.298,.309,.372,.682,75,35,1,0,4,1,0,cervefr01
14,RF,Eric Hinske*,31,39,98,84,13,19,3,0,7,14,1,0,10,25,.226,.316,.512,.828,109,43,2,2,0,2,1,hinsker01
15,UT,Jerry Hairston,33,45,93,76,15,18,5,0,2,12,0,1,11,8,.237,.352,.382,.733,90,29,1,3,2,1,0,hairsje02
16,3B,Cody Ransom,33,31,86,79,11,15,9,1,0,10,2,0,7,25,.190,.256,.329,.585,50,26,3,0,0,0,0,ransoco01
17,RF,Xavier Nady,30,7,29,28,4,8,4,0,0,2,0,0,1,6,.286,.310,.429,.739,88,12,2,0,0,0,0,nadyxa01
18,C,Kevin Cash,31,10,28,26,1,6,2,0,0,3,0,0,0,5,.231,.250,.308,.558,43,8,1,1,0,1,0,cashke01
19,3B,Ángel Berroa,31,21,24,22,6,3,1,0,0,1,0,0,0,6,.136,.174,.182,.356,-8,4,1,1,1,0,0,berroan01
20,RF,Shelley Duncan,29,11,15,15,1,3,0,0,0,1,0,0,0,5,.200,.200,.200,.400,4,3,1,0,0,0,0,duncash01
21,1B,Juan Miranda*,26,8,9,9,2,3,0,0,1,3,0,0,0,4,.333,.333,.667,1.000,149,6,0,0,0,0,0,miranju01
22,OF,Freddy Guzmán#,28,10,7,6,2,1,0,0,0,1,4,1,0,1,.167,.143,.167,.310,-20,1,0,0,0,1,0,guzmafr01
23,P,Andy Pettitte*,37,2,6,5,1,1,1,0,0,1,0,0,0,2,.200,.200,.400,.600,50,2,0,0,1,0,0,pettian01
24,P,A.J. Burnett,32,2,5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,4,1,0,0,0,0,0,burnea.01
25,P,Chien-Ming Wang,29,2,4,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,1,0,0,wangch01
26,P,CC Sabathia*,28,2,4,4,1,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,30,1,0,0,0,0,0,sabatc.01
27,P,Joba Chamberlain,23,1,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,chambjo03
28,P,Alfredo Aceves,26,3,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,aceveal01
29,P,Mariano Rivera,39,6,2,1,0,0,0,0,0,1,0,0,1,0,.000,.500,.000,.500,46,0,0,0,0,0,0,riverma01
30,P,Phil Coke*,26,8,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,cokeph01
31,P,Brett Tomko,36,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,tomkobr01
32,P,Dámaso Marte*,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,marteda01
33,P,Sergio Mitre,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,mitrese01
34,P,Mark Melancon,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,melanma01
35,P,Phil Hughes,23,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,hugheph01
36,P,Mike Dunn*,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,dunnmi01
37,P,Brian Bruney,27,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,brunebr01
38,P,Jonathan Albaladejo,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,albaljo01
39,P,Josh Towers,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,towerjo01
40,P,Edwar Ramírez,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,ramired01
41,P,Ian Kennedy,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kenneia01
42,P,Chad Gaudin,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gaudich01
43,P,José Veras,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,verasjo01
44,P,Anthony Claggett#,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,claggan01
45,P,David Robertson,24,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,roberda08
