Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Buster Posey,27,147,605,547,72,170,28,2,22,89,0,1,47,69,.311,.364,.490,.854,143,268,16,3,0,8,5,poseybu01
2,1B,Brandon Belt*,26,61,235,214,30,52,8,0,12,27,3,1,18,64,.243,.306,.449,.755,114,96,4,2,0,1,2,beltbr01
3,2B,Joe Panik*,23,73,287,269,31,82,10,2,1,18,0,0,16,33,.305,.343,.368,.711,105,99,4,0,1,1,0,panikjo01
4,SS,Brandon Crawford*,27,153,564,491,54,121,20,10,10,69,5,3,59,129,.246,.324,.389,.713,104,191,4,2,2,10,10,crawfbr01
5,3B,Pablo Sandoval#,27,157,638,588,68,164,26,3,16,73,0,0,39,85,.279,.324,.415,.739,111,244,16,4,0,7,6,sandopa01
6,LF,Mike Morse,32,131,482,438,48,122,32,3,16,61,0,0,31,121,.279,.336,.475,.811,130,208,19,9,0,4,0,morsemi01
7,CF,Ángel Pagán#,32,96,413,383,56,115,21,2,3,27,16,6,25,53,.300,.342,.389,.731,110,149,5,1,1,3,1,paganan01
8,RF,Hunter Pence,31,162,708,650,106,180,29,10,20,74,13,6,52,130,.277,.332,.445,.777,121,289,13,3,0,3,3,pencehu01
9,OF,Grégor Blanco*,30,146,444,393,51,102,18,6,5,38,16,5,41,77,.260,.333,.374,.707,103,147,4,3,6,1,1,blancgr01
10,2B,Brandon Hicks,28,71,242,204,27,33,6,1,8,22,0,1,32,77,.162,.280,.319,.599,72,65,5,2,3,1,3,hicksbr01
11,IF,Joaquín Arias,29,107,204,193,18,49,9,0,0,15,1,0,8,23,.254,.281,.301,.581,67,58,1,0,1,2,2,ariasjo01
12,C,Héctor Sánchez#,24,66,177,163,8,32,8,0,3,28,0,1,8,55,.196,.237,.301,.538,53,49,2,2,0,4,1,sanchhe01
13,LF,Tyler Colvin*,28,57,149,139,16,31,10,3,2,18,1,0,8,45,.223,.268,.381,.650,84,53,3,1,0,1,0,colvity01
14,OF,Juan Pérez,27,61,109,100,13,17,7,0,1,3,0,1,5,25,.170,.224,.270,.494,41,27,3,2,2,0,0,perezju02
15,2B,Ehire Adrianza#,24,53,106,97,10,23,6,0,0,5,1,1,5,22,.237,.279,.299,.578,66,29,2,1,2,1,1,adriaeh01
16,C,Andrew Susac,24,35,95,88,13,24,8,0,3,19,0,0,7,28,.273,.326,.466,.792,125,41,0,0,0,0,0,susacan01
17,1B,Travis Ishikawa*,30,47,81,73,7,20,3,0,2,15,0,0,6,23,.274,.333,.397,.731,109,29,1,1,0,1,1,ishiktr01
18,1B,Adam Duvall,25,28,77,73,8,14,2,0,3,5,0,0,3,20,.192,.234,.342,.576,63,25,0,1,0,0,0,duvalad01
19,IF,Matt Duffy,23,34,64,60,5,16,2,0,0,8,0,1,1,14,.267,.302,.300,.602,74,18,1,2,1,0,0,duffyma01
20,UT,Chris Dominguez,27,8,18,17,1,1,0,0,1,2,0,0,1,4,.059,.111,.235,.346,-4,4,2,0,0,0,1,dominch01
21,2B,Marco Scutaro,38,5,13,11,1,1,0,0,0,0,0,0,1,3,.091,.167,.091,.258,-23,1,1,0,1,0,0,scutama01
22,2B,Dan Uggla,34,4,12,11,1,0,0,0,0,0,0,0,1,6,.000,.083,.000,.083,-73,0,0,0,0,0,0,ugglada01
23,CF,Gary Brown,25,7,7,7,1,3,0,0,0,1,0,0,0,0,.429,.429,.429,.857,148,3,0,0,0,0,0,brownga02
24,IF,Tony Abreu#,29,3,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,abreuto01
25,C,Guillermo Quiroz,32,2,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,quirogu01
26,P,Madison Bumgarner,24,31,78,66,10,17,2,0,4,15,0,0,2,29,.258,.286,.470,.755,113,31,0,1,8,1,0,bumgama01
