Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Yan Gomes,31,97,358,314,36,70,16,0,12,43,2,0,38,84,.223,.316,.389,.704,81,122,7,5,0,1,6,gomesya01
2,1B,Matt Adams*,30,111,333,310,42,70,14,0,20,56,0,0,20,115,.226,.276,.465,.741,86,144,7,2,0,1,1,adamsma01
3,2B,Brian Dozier,32,135,482,416,54,99,20,0,20,50,3,4,61,105,.238,.340,.430,.771,98,179,11,4,0,1,2,doziebr01
4,SS,Trea Turner,26,122,569,521,96,155,37,5,19,57,35,5,43,113,.298,.353,.497,.850,117,259,10,3,0,2,2,turnetr01
5,3B,Anthony Rendon,29,146,646,545,117,174,44,3,34,126,5,1,80,86,.319,.412,.598,1.010,157,326,13,12,0,9,8,rendoan01
6,LF,Juan Soto*,20,150,659,542,110,153,32,5,34,110,12,1,108,132,.282,.401,.548,.949,142,297,11,3,0,6,3,sotoju01
7,CF,Víctor Robles,22,155,617,546,86,139,33,3,17,65,28,9,35,140,.255,.326,.419,.745,91,229,6,25,6,5,3,roblevi01
8,RF,Adam Eaton*,30,151,656,566,103,158,25,7,15,49,15,3,65,106,.279,.365,.428,.792,105,242,8,13,9,3,0,eatonad02
9,IF,Howie Kendrick,35,121,370,334,61,115,23,1,17,62,2,1,27,49,.344,.395,.572,.966,146,191,11,4,0,5,1,kendrho01
10,C,Kurt Suzuki,35,85,309,280,37,74,11,0,17,63,0,1,20,36,.264,.324,.486,.809,105,136,10,6,0,3,1,suzukku01
11,UT,Gerardo Parra*,32,89,204,188,30,47,11,1,8,42,6,2,11,41,.250,.300,.447,.747,90,84,7,3,1,1,1,parrage01
12,1B,Ryan Zimmerman,34,52,190,171,20,44,9,0,6,27,0,0,17,39,.257,.321,.415,.736,89,71,4,0,0,2,0,zimmery01
13,2B,Asdrúbal Cabrera#,33,38,146,124,24,40,10,1,6,40,0,0,19,18,.323,.404,.565,.969,147,70,3,0,0,3,1,cabreas01
14,SS,Wilmer Difo#,27,43,144,131,15,33,2,0,2,8,0,1,12,29,.252,.315,.313,.628,64,41,2,0,1,0,3,difowi01
15,CF,Michael A. Taylor,28,53,97,88,10,22,7,0,1,3,6,0,7,34,.250,.305,.364,.669,73,32,0,0,2,0,0,taylomi02
16,SS,Carter Kieboom,21,11,43,39,4,5,0,0,2,2,0,0,4,16,.128,.209,.282,.491,26,11,0,0,0,0,1,kieboca01
17,LF,Andrew Stevenson*,25,30,37,30,4,11,1,1,0,0,0,1,6,11,.367,.486,.467,.953,150,14,1,1,0,0,0,stevean01
18,UT,Adrián Sánchez,28,28,32,31,3,7,0,0,0,1,0,0,1,10,.226,.250,.226,.476,25,7,0,0,0,0,0,sanchad01
19,CI,Jake Noll,25,8,13,12,1,2,1,0,0,2,0,0,1,4,.167,.231,.250,.481,25,3,0,0,0,0,0,nollja01
20,C,Raudy Read,25,6,11,11,0,1,0,0,0,0,0,0,0,5,.091,.091,.091,.182,-52,1,1,0,0,0,0,readra01
21,C,Tres Barrera,24,2,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,barretr01
