Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Will Smith,25,37,137,114,23,33,9,0,8,25,0,0,20,22,.289,.401,.579,.980,162,66,2,2,0,1,1,smithwi05
2,1B,Max Muncy*,29,58,248,203,36,39,4,0,12,27,1,0,39,60,.192,.331,.389,.720,95,79,3,4,0,2,2,muncyma01
3,2B,Enrique Hernández,28,48,148,139,20,32,8,1,5,20,0,1,6,31,.230,.270,.410,.680,81,57,5,2,0,1,0,hernaen02
4,SS,Corey Seager*,26,52,232,212,38,65,12,1,15,41,1,0,17,37,.307,.358,.585,.943,150,124,8,1,0,2,0,seageco01
5,3B,Justin Turner,35,42,175,150,26,46,9,1,4,23,1,0,18,26,.307,.400,.460,.860,133,69,2,6,0,1,0,turneju01
6,LF,AJ Pollock,32,55,210,196,30,54,9,0,16,34,2,2,12,45,.276,.314,.566,.881,132,111,6,0,0,2,1,polloaj01
7,CF,Cody Bellinger*,24,56,243,213,33,51,10,0,12,30,6,1,30,42,.239,.333,.455,.789,112,97,4,0,0,0,2,bellico01
8,RF,Mookie Betts,27,55,246,219,47,64,9,1,16,39,10,2,24,38,.292,.366,.562,.927,147,123,2,2,0,1,1,bettsmo01
9,DH,Joc Pederson*,28,43,138,121,21,23,4,0,7,16,1,0,11,34,.190,.285,.397,.681,83,48,5,5,0,0,0,pederjo01
10,UT,Chris Taylor,29,56,214,185,30,50,10,2,8,32,3,2,26,55,.270,.366,.476,.842,127,88,3,2,1,0,0,tayloch03
11,C,Austin Barnes,30,29,104,86,14,21,3,0,1,9,3,0,13,24,.244,.353,.314,.667,84,27,0,2,2,1,0,barneau01
12,3B,Edwin Ríos*,26,32,83,76,13,19,6,0,8,17,0,0,4,18,.250,.301,.645,.946,147,49,2,2,0,1,0,riosed01
13,2B,Gavin Lux*,22,19,69,63,8,11,2,0,3,8,1,0,6,19,.175,.246,.349,.596,59,22,0,0,0,0,0,luxga01
14,UT,Matt Beaty*,27,21,54,50,8,11,1,0,2,5,0,0,2,14,.220,.278,.360,.638,72,18,3,2,0,0,0,beatyma01
15,C,Keibert Ruiz#,21,2,8,8,1,2,0,0,1,1,0,0,0,3,.250,.250,.625,.875,126,5,0,0,0,0,0,ruizke01
16,UT,Zach McKinstry*,25,4,7,7,1,2,1,0,0,0,0,0,0,3,.286,.286,.429,.714,90,3,1,0,0,0,0,mckinza01
17,DH,Terrance Gore,29,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gorete01
18,P,Dustin May,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,maydu01
19,P,Scott Alexander*,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,alexasc02
20,P,Julio Urías*,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,uriasju01
21,P,Jake McGee*,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,mcgeeja01
22,P,Dennis Santana,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,santade01
23,P,Victor González*,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gonzavi02
24,P,Walker Buehler,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,buehlwa01
25,P,Blake Treinen,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,treinbl01
26,P,Joe Kelly,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kellyjo05
27,P,Kenley Jansen#,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,janseke01
28,P,Caleb Ferguson,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,ferguca01
29,P,Adam Kolarek*,31,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kolarad01
30,P,Clayton Kershaw*,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kershcl01
31,P,Pedro Báez,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,baezpe01
32,P,Mitch White,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,whitemi03
33,P,Tony Gonsolin,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gonsoto01
34,P,Alex Wood,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,woodal02
35,P,Brusdar Graterol,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gratebr01
36,P,Dylan Floro*,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,florody01
37,P,Ross Stripling,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,stripro01
38,P,Josh Sborz,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,sborzjo01
