Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Travis dArnaud,32,60,229,209,21,46,14,0,7,26,0,0,17,53,.220,.284,.388,.671,76,81,7,2,0,1,0,darnatr01
2,1B,Freddie Freeman*,31,159,695,600,120,180,25,2,31,83,8,3,85,107,.300,.393,.503,.896,136,302,11,8,0,2,15,freemfr01
3,2B,Ozzie Albies#,24,156,686,629,103,163,40,7,30,106,20,4,47,128,.259,.310,.488,.799,108,307,4,3,0,7,2,albieoz01
4,SS,Dansby Swanson,27,160,653,588,78,146,33,2,27,88,9,3,52,167,.248,.311,.449,.760,99,264,7,5,1,7,4,swansda01
5,3B,Austin Riley,24,160,662,590,91,179,33,1,33,107,0,1,52,168,.303,.367,.531,.898,135,313,11,12,0,8,2,rileyau01
6,LF,Marcell Ozuna,30,48,208,188,21,40,6,0,7,26,0,0,19,46,.213,.288,.356,.645,70,67,6,1,0,0,0,ozunama01
7,CF,Guillermo Heredia,30,120,347,305,46,67,26,0,5,26,0,0,32,81,.220,.311,.354,.665,77,108,5,9,0,1,3,heredgu01
8,RF,Ronald Acuna Jr.,23,82,360,297,72,84,19,1,24,52,17,6,49,85,.283,.394,.596,.990,158,177,0,9,0,5,2,acunaro01
9,RF,Jorge Soler,29,55,242,208,36,56,11,0,14,33,0,0,29,45,.269,.358,.524,.882,131,109,3,1,0,2,0,solerjo01
10,OF,Adam Duvall,32,55,216,199,26,45,7,1,16,45,0,0,14,69,.226,.287,.513,.800,106,102,3,3,0,0,1,duvalad01
11,UT,Ehire Adrianza#,31,109,209,182,32,45,9,2,5,28,0,0,21,42,.247,.327,.401,.728,92,73,4,2,1,3,0,adriaeh01
12,OF,Joc Pederson*,29,64,194,173,20,43,8,1,7,22,0,0,17,43,.249,.325,.428,.752,98,74,4,3,0,1,0,pederjo01
13,C,William Contreras,23,52,185,163,19,35,4,1,8,23,0,0,19,54,.215,.303,.399,.701,85,65,3,2,0,1,1,contrwi02
14,LF,Abraham Almonte#,32,64,175,148,20,32,12,0,5,19,1,1,26,38,.216,.331,.399,.730,93,59,2,0,0,1,0,almonab01
15,LF,Eddie Rosario*,29,33,106,96,13,26,4,2,7,16,2,1,9,14,.271,.330,.573,.903,134,55,1,0,0,1,0,rosared01
16,C,Kevan Smith,33,30,101,91,6,15,3,0,0,3,0,0,10,29,.165,.248,.198,.445,21,18,3,0,0,0,3,smithke04
17,CF,Ender Inciarte*,30,52,89,79,11,17,2,0,2,10,1,0,7,22,.215,.276,.316,.592,57,25,1,0,2,1,0,inciaen01
18,C,Stephen Vogt*,36,26,87,78,7,13,0,0,2,8,0,0,8,20,.167,.241,.244,.485,30,19,0,0,0,1,1,vogtst01
19,DH,Pablo Sandoval#,34,69,86,73,11,13,0,0,4,11,0,0,11,25,.178,.302,.342,.645,71,25,2,2,0,0,0,sandopa01
20,UT,Orlando Arcia,26,32,78,70,9,15,3,0,2,13,1,0,7,16,.214,.282,.343,.625,65,24,2,0,0,1,1,arciaor01
21,CF,Cristian Pache,22,22,68,63,6,7,3,0,1,4,0,0,2,25,.111,.152,.206,.358,-6,13,1,1,2,0,0,pachecr01
22,C,Alex Jackson,25,10,28,23,2,1,0,0,0,0,0,0,2,13,.043,.214,.043,.258,-25,1,0,3,0,0,1,jacksal02
23,IF,Johan Camargo#,27,15,18,16,1,0,0,0,0,0,0,0,2,6,.000,.111,.000,.111,-66,0,0,0,0,0,0,camarjo01
24,C,Jonathan Lucroy,35,2,9,5,2,1,0,0,0,1,0,0,3,2,.200,.500,.200,.700,98,1,0,0,1,0,0,lucrojo01
25,C,Jeff Mathis,38,3,9,9,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,0,0,0,mathije01
26,DH,Sean Kazmar Jr.,36,3,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,kazmase01
